Product Name,Unit Price,ID,Payment Gateway,Card Brand,Bank,Region,Address,Email
Where the Crawdads Sing by Delia Owens,18.99,64,MercadoPago,AMEX,Banco de Chile,Región de Coquimbo,Av. O'Higgins 678,lglczlt@example.com
Lancome La Vie Est Belle,102.0,65,Webpay,VISA,Banco Estado,Región de Los Ríos,Av. O'Higgins 678,pwyaaqr@fake.co
Garmin Edge 530,299.99,66,Webpay,AMEX,Banco de Chile,Región de Magallanes y de la Antártica Chilena,La Serena 666,aqaisrg@random.org
Samsung QLED 4K TV,1199.99,67,EtPay,VISA,Banco Falabella,Región de Los Ríos,La Serena 666,nddktbi@email.com
Eufy RoboVac 11S,219.99,68,Webpay,Mastercard,Banco de Chile,Región de Magallanes y de la Antártica Chilena,La Florida 789,odxqdij@example.com
Puma Suede Classic Sneakers,59.99,69,MercadoPago,VISA,Banco BCI,Región de Los Ríos,Puerto Varas 333,dszukkz@fake.co
The Great Gatsby by F. Scott Fitzgerald,10.99,70,EtPay,VISA,Santander,Región Metropolitana de Santiago,Villarrica 444,gcsvvkl@fake.co
Drunk Elephant C-Firma Day Serum,78.0,71,Webpay,AMEX,Santander,Región de Aysén del General Carlos Ibáñez del Campo,Plaza Italia 111,cpaabdp@test.com
Nike Metcon 6,129.99,72,Webpay,Mastercard,Santander,Región del Biobío,Calle Falsa 123,equemxm@example.com
HP Spectre x360 Laptop,1599.99,73,Kiphu,AMEX,Santander,Región de Ñuble,La Serena 666,vhuyqkh@fake.co
De'Longhi Magnifica Espresso Machine,899.99,74,MercadoPago,VISA,Banco de Chile,Región de Tarapacá,Camino del Inca 1010,olaemjo@test.com
Tommy Hilfiger Polo Shirt,49.99,75,MercadoPago,AMEX,Banco de Chile,Región de Arica y Parinacota,Av. O'Higgins 678,ezaggmf@random.org
To Kill a Mockingbird by Harper Lee,14.99,76,Webpay,VISA,Banco de Chile,Región de Los Lagos,Villarrica 444,chmraxy@mail.com
Glossier Boy Brow,16.0,77,MercadoPago,VISA,Banco de Chile,Región del Maule,Cerro Alegre 222,mprdmvp@fake.co
Rogue Fitness Kettlebell,69.99,78,EtPay,Mastercard,Banco Falabella,Región de Atacama,Calle Falsa 123,kxynjxl@example.com
Apple AirPods Pro,249.99,79,EtPay,AMEX,Banco de Chile,Región del Maule,Av. Siempre Viva 742,pqahgzx@email.com
Dyson Pure Cool Link,499.99,80,Kiphu,Mastercard,Banco Falabella,Región de Valparaíso,Puerto Varas 333,dvqgclg@test.com
Levi's Trucker Jacket,89.99,81,Kiphu,Mastercard,Banco de Chile,Región de Coquimbo,Puerto Varas 333,dcbbclq@random.org
The Hobbit by J.R.R. Tolkien,12.99,82,Webpay,Mastercard,Banco Estado,Región Metropolitana de Santiago,Valdivia 555,tpejckc@example.com
Charlotte Tilbury Magic Cream,100.0,83,EtPay,VISA,Banco BCI,Región de Valparaíso,Plaza Italia 111,daqlrtr@example.com
Spalding NBA Street Basketball,24.99,84,Webpay,AMEX,Santander,Región de Los Lagos,Av. O'Higgins 678,zslhmmw@fake.co
Ring Video Doorbell,99.99,85,Webpay,Mastercard,Banco de Chile,Región Metropolitana de Santiago,Plaza Italia 111,qvljubd@test.com
LG OLED TV,1299.99,86,EtPay,AMEX,Banco Falabella,Región del Libertador General Bernardo O'Higgins,Los Alerces 456,ecdvzee@fake.co
Uniqlo Ultra Light Down Jacket,79.99,87,EtPay,VISA,Banco BCI,Región del Maule,Gran Avenida 567,mylcyvn@email.com
The Catcher in the Rye by J.D. Salinger,13.99,88,EtPay,AMEX,Banco Falabella,Región de La Araucanía,Valdivia 555,roepfez@fake.co
Sunday Riley Good Genes,105.0,89,EtPay,AMEX,Banco de Chile,Región de La Araucanía,Los Alerces 456,qnljyso@example.com
On Running Cloud Shoes,129.99,90,Kiphu,VISA,Banco BCI,Región de Valparaíso,Los Alerces 456,mjyheog@fake.co
Logitech MX Master 3 Mouse,99.99,91,MercadoPago,Mastercard,Banco Falabella,Región del Maule,Puerto Varas 333,peyoral@example.com
Instant Pot Duo Crisp,179.99,92,MercadoPago,AMEX,Banco de Chile,Región Metropolitana de Santiago,La Serena 666,tlfbswr@example.com
Adidas Originals Superstar Sneakers,79.99,93,Webpay,VISA,Banco de Chile,Región del Biobío,Calle Falsa 123,xaucxjc@random.org
The Alchemist by Paulo Coelho,14.99,94,MercadoPago,Mastercard,Banco de Chile,Región Metropolitana de Santiago,Camino del Inca 1010,mprxjjb@email.com
Tatcha The Water Cream,68.0,95,MercadoPago,Mastercard,Banco BCI,Región del Biobío,Plaza Italia 111,grcnhqk@example.com
Garmin Fenix 6X Pro,999.99,96,Kiphu,AMEX,Banco Estado,Región del Libertador General Bernardo O'Higgins,La Serena 666,dofetpc@random.org
Bose SoundLink Revolve+ Speaker,299.99,97,Webpay,Mastercard,Banco de Chile,Región del Libertador General Bernardo O'Higgins,Paseo Ahumada 890,rkhjjeb@test.com
Vitamix Explorian Blender,349.99,98,Webpay,VISA,Banco Falabella,Región de Antofagasta,Paseo Ahumada 890,hgoyscq@test.com
Gap Essential Crewneck T-Shirt,19.99,99,EtPay,AMEX,Banco de Chile,Región de Aysén del General Carlos Ibáñez del Campo,Paseo Ahumada 890,ocdwblv@fake.co
The Power of Now by Eckhart Tolle,12.99,100,Webpay,VISA,Banco de Chile,Región del Maule,Puerto Varas 333,ggblpou@mail.com
Kiehl's Midnight Recovery Concentrate,82.0,101,Webpay,AMEX,Banco de Chile,Región de Los Ríos,Providencia 234,rqempvh@example.com
Under Armour HOVR Sonic 4 Shoes,109.99,102,MercadoPago,Mastercard,Banco de Chile,Región de Ñuble,Calle Falsa 123,kylypjp@fake.co
Canon EOS R5 Camera,3899.99,103,Kiphu,Mastercard,Banco Falabella,Región de Tarapacá,Villarrica 444,ioqhivz@mail.com
Shark IQ Robot Vacuum,349.99,104,MercadoPago,AMEX,Santander,Región Metropolitana de Santiago,Paseo Ahumada 890,zzgiwdm@example.com
H&M Slim Fit Jeans,39.99,105,Kiphu,AMEX,Banco BCI,Región de Coquimbo,Gran Avenida 567,awlqesi@email.com
The Girl on the Train by Paula Hawkins,10.99,106,EtPay,VISA,Banco Estado,Región del Maule,Valdivia 555,fvjhtbh@email.com
The Ordinary Niacinamide Serum,6.5,107,Kiphu,VISA,Banco BCI,Región de Aysén del General Carlos Ibáñez del Campo,Puerto Varas 333,kjalawd@email.com
Bowflex SelectTech 552 Dumbbells,399.99,108,Webpay,AMEX,Banco BCI,Región de Aysén del General Carlos Ibáñez del Campo,Los Alerces 456,akdsawh@test.com
Google Nest Hub Max,229.99,109,MercadoPago,VISA,Banco de Chile,Región de Los Ríos,Cerro Alegre 222,yjsfwdq@example.com
Cuisinart Griddler Deluxe,159.99,110,Kiphu,Mastercard,Banco BCI,Región de Los Lagos,Cerro Alegre 222,lvwcmsw@fake.co
Old Navy Relaxed-Fit T-Shirt,14.99,111,Kiphu,VISA,Banco Falabella,Región de Coquimbo,Av. Siempre Viva 742,lsmrkde@email.com
Sapiens: A Brief History of Humankind by Yuval Noah Harari,18.99,112,EtPay,VISA,Banco Falabella,Región de Antofagasta,La Serena 666,edflsjj@test.com
Biore UV Aqua Rich Watery Essence Sunscreen,15.0,113,Webpay,Mastercard,Banco Estado,Región del Libertador General Bernardo O'Higgins,La Florida 789,lzovodv@email.com
Fitbit Versa 3,229.95,114,Kiphu,Mastercard,Banco BCI,Región de Antofagasta,Cerro Alegre 222,cqhuivc@example.com
Amazon Echo Show 10,249.99,115,Webpay,VISA,Banco Estado,Región del Biobío,Av. O'Higgins 678,quyefcj@random.org
Breville Smart Grill,299.95,116,Webpay,VISA,Banco Falabella,Región del Maule,Los Alerces 456,fkdokki@random.org
Gap High Rise Skinny Jeans,49.99,117,MercadoPago,AMEX,Banco Falabella,Región de Los Ríos,La Florida 789,cvokczo@fake.co
Atomic Habits by James Clear,16.99,118,EtPay,AMEX,Banco Falabella,Región de Ñuble,Av. O'Higgins 678,jwaakje@mail.com
CeraVe Hydrating Facial Cleanser,14.99,119,Webpay,VISA,Banco BCI,Región de Atacama,Cerro Alegre 222,upjnzua@mail.com
YETI Hopper Flip Portable Cooler,249.99,120,Webpay,AMEX,Banco de Chile,Región de Antofagasta,Calle Falsa 123,mecoqnd@email.com
Apple iPad Air,599.99,121,MercadoPago,Mastercard,Banco BCI,Región de Magallanes y de la Antártica Chilena,Villarrica 444,kucfvtd@random.org
Hamilton Beach FlexBrew Coffee Maker,89.99,122,Kiphu,VISA,Banco BCI,Región de Antofagasta,Providencia 234,digjmsx@test.com
Forever 21 Graphic Tee,12.99,123,EtPay,AMEX,Banco Estado,Región Metropolitana de Santiago,Paseo Ahumada 890,jjibjye@mail.com
The Subtle Art of Not Giving a F*ck by Mark Manson,14.99,124,EtPay,Mastercard,Banco de Chile,Región Metropolitana de Santiago,Paseo Ahumada 890,byenhhw@test.com
NARS Radiant Creamy Concealer,30.0,125,EtPay,VISA,Banco Estado,Región de Aysén del General Carlos Ibáñez del Campo,Paseo Ahumada 890,nmlmmhu@mail.com
Yeti Roadie 24 Cooler,199.99,126,Webpay,Mastercard,Santander,Región Metropolitana de Santiago,Puerto Varas 333,osmwhgs@test.com
Sony PlayStation 5,499.99,127,Kiphu,VISA,Banco de Chile,Región del Biobío,Av. O'Higgins 678,zhesbrw@random.org
Dyson Supersonic Hair Dryer,399.99,128,EtPay,AMEX,Santander,Región de Tarapacá,La Serena 666,tffnxtn@example.com
Lululemon Align Leggings,98.0,129,EtPay,Mastercard,Banco Falabella,Región de La Araucanía,Villarrica 444,acqkaek@fake.co
The Four Agreements by Don Miguel Ruiz,8.99,130,Kiphu,AMEX,Banco de Chile,Región Metropolitana de Santiago,Camino del Inca 1010,qwjocye@fake.co
Fenty Beauty Killawatt Highlighter,36.0,131,EtPay,Mastercard,Banco Estado,Región de La Araucanía,Valdivia 555,ssoxewy@random.org
Hydro Flask Wide Mouth Water Bottle,39.95,132,Kiphu,Mastercard,Banco de Chile,Región Metropolitana de Santiago,Camino del Inca 1010,dcwhnck@fake.co
Microsoft Surface Laptop 4,1299.99,133,Kiphu,Mastercard,Banco Estado,Región del Maule,Cerro Alegre 222,crekniv@random.org
Keurig K-Mini Coffee Maker,79.99,134,MercadoPago,AMEX,Banco de Chile,Región del Maule,Valdivia 555,gxuftat@test.com
Gap Crewneck Sweatshirt,34.99,135,MercadoPago,AMEX,Banco Falabella,Región de Ñuble,Cerro Alegre 222,lrycqtk@random.org
Think and Grow Rich by Napoleon Hill,9.99,136,Kiphu,AMEX,Santander,Región del Biobío,La Florida 789,vohvtwk@random.org
The Ordinary Hyaluronic Acid Serum,6.8,137,Kiphu,VISA,Banco BCI,Región de Aysén del General Carlos Ibáñez del Campo,Gran Avenida 567,moucage@example.com
Fitbit Inspire 2,99.95,138,EtPay,Mastercard,Banco BCI,Región de Magallanes y de la Antártica Chilena,La Florida 789,djukyrd@email.com
Samsung Odyssey G9 Gaming Monitor,1499.99,139,MercadoPago,AMEX,Banco BCI,Región de Ñuble,Puerto Varas 333,whsfiyd@test.com
Instant Pot Ultra,139.99,140,Kiphu,VISA,Banco BCI,Región de Los Ríos,Providencia 234,octwanz@mail.com
Adidas Essential Track Pants,44.99,141,Webpay,AMEX,Banco Falabella,Región de Antofagasta,Paseo Ahumada 890,ydyjfjf@fake.co
The Power of Habit by Charles Duhigg,11.99,142,MercadoPago,Mastercard,Banco Falabella,Región de Los Ríos,Plaza Italia 111,ucpevgy@email.com
Clinique Dramatically Different Moisturizing Lotion,29.5,143,EtPay,VISA,Banco de Chile,Región de Los Ríos,Plaza Italia 111,nyvmxeb@example.com
YETI Tundra 45 Cooler,299.99,144,Webpay,VISA,Banco BCI,Región de Los Ríos,Calle Falsa 123,nsnkhth@mail.com
Apple AirPods Max,549.0,145,EtPay,AMEX,Banco Falabella,Región de Antofagasta,Av. Siempre Viva 742,jcwvtmz@mail.com
Cuisinart Coffee Center,199.95,146,Kiphu,Mastercard,Banco Falabella,Región de Ñuble,Los Alerces 456,pgirciz@test.com
Levi's Sherpa Trucker Jacket,98.0,147,EtPay,Mastercard,Banco Estado,Región de Antofagasta,Los Alerces 456,uovtlpj@mail.com
The Outsiders by S.E. Hinton,10.99,148,EtPay,AMEX,Banco Estado,Región de Coquimbo,La Florida 789,ddlikvo@test.com
Laneige Water Sleeping Mask,25.0,149,EtPay,AMEX,Banco Falabella,Región de La Araucanía,Paseo Ahumada 890,agisqzl@fake.co
Bose SoundSport Wireless Earbuds,149.99,150,EtPay,VISA,Santander,Región del Maule,Cerro Alegre 222,bffewth@test.com
Sony WH-1000XM4 Headphones,349.99,151,MercadoPago,Mastercard,Banco Estado,Región de Atacama,Valdivia 555,ivxnoit@fake.co
Ninja Foodi Pressure Cooker,199.99,152,Kiphu,VISA,Banco BCI,Región de Ñuble,Puerto Varas 333,hlndspz@fake.co
Nike Sportswear Club Fleece Hoodie,54.99,153,EtPay,Mastercard,Banco BCI,Región de Los Lagos,Villarrica 444,odkrxik@test.com
The Night Circus by Erin Morgenstern,16.99,154,MercadoPago,VISA,Banco BCI,Región de Antofagasta,La Florida 789,bngkhew@test.com
GlamGlow Supermud Clearing Treatment,59.0,155,EtPay,VISA,Banco BCI,Región de Atacama,Plaza Italia 111,rwdobdo@mail.com
Garmin Forerunner 245,299.99,156,Webpay,AMEX,Banco Estado,Región del Maule,Av. O'Higgins 678,vxmxpzn@random.org
Google Pixel 6 Pro,899.99,157,Kiphu,Mastercard,Banco de Chile,Región de Magallanes y de la Antártica Chilena,Camino del Inca 1010,wbahejn@random.org
Breville Nespresso Creatista Plus,499.95,158,Webpay,Mastercard,Banco Estado,Región del Biobío,La Serena 666,cxdibnx@test.com
Under Armour Tech 2.0 T-Shirt,24.99,159,MercadoPago,Mastercard,Banco de Chile,Región de Arica y Parinacota,Los Alerces 456,iczhnnc@email.com
The Art of War by Sun Tzu,7.99,160,Webpay,Mastercard,Banco BCI,Región de Valparaíso,Providencia 234,felsnac@example.com
Youth to the People Superfood Antioxidant Cleanser,36.0,161,Kiphu,AMEX,Banco Falabella,Región del Maule,Villarrica 444,qgrfhep@fake.co
TriggerPoint GRID Foam Roller,34.99,162,Kiphu,AMEX,Banco de Chile,Región de Arica y Parinacota,Los Alerces 456,hhuupqq@random.org
Apple MacBook Air,1199.99,163,Kiphu,AMEX,Banco BCI,Región del Maule,La Serena 666,cqjjibv@random.org
Cuisinart Custom 14-Cup Food Processor,199.99,164,EtPay,Mastercard,Banco BCI,Región de Magallanes y de la Antártica Chilena,Plaza Italia 111,olqmtgy@mail.com
Adidas 3-Stripes Shorts,29.99,165,MercadoPago,VISA,Santander,Región de Antofagasta,Cerro Alegre 222,iolbpco@random.org
The Hunger Games by Suzanne Collins,8.99,166,Kiphu,VISA,Banco de Chile,Región del Maule,Puerto Varas 333,lysgmeq@email.com
Neutrogena Hydro Boost Water Gel,16.99,167,Kiphu,AMEX,Santander,Región de La Araucanía,Av. O'Higgins 678,ppuqolm@example.com
Yeti Rambler Bottle,49.99,168,MercadoPago,Mastercard,Banco Estado,Región de Ñuble,La Florida 789,ldxtdbr@random.org
Samsung Odyssey G7 Gaming Monitor,699.99,169,Kiphu,AMEX,Banco de Chile,Región de Magallanes y de la Antártica Chilena,Camino del Inca 1010,oidciri@example.com
Instant Pot Duo Evo Plus,139.99,170,Kiphu,Mastercard,Santander,Región de Magallanes y de la Antártica Chilena,Valdivia 555,bsknyrx@random.org
Nike Tempo Running Shorts,34.99,171,Webpay,VISA,Banco BCI,Región de Aysén del General Carlos Ibáñez del Campo,Av. O'Higgins 678,cxmwiyu@example.com
The Girl with the Dragon Tattoo by Stieg Larsson,9.99,172,EtPay,AMEX,Santander,Región del Libertador General Bernardo O'Higgins,Los Alerces 456,dcnhppd@fake.co
Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,29.5,173,Webpay,Mastercard,Banco de Chile,Región de Valparaíso,Calle Falsa 123,spyvtqh@test.com
Bowflex SelectTech 1090 Adjustable Dumbbells,699.99,174,EtPay,VISA,Banco de Chile,Región de Magallanes y de la Antártica Chilena,Av. Siempre Viva 742,zwkuhat@mail.com
Amazon Fire TV Stick 4K,49.99,175,EtPay,Mastercard,Banco Estado,Región de Arica y Parinacota,Gran Avenida 567,vfjmipx@email.com
Crock-Pot 6-Quart Slow Cooker,49.99,176,EtPay,Mastercard,Santander,Región de Magallanes y de la Antártica Chilena,Los Alerces 456,rlqxmmp@example.com
Uniqlo Airism Mesh Boxer Briefs,14.9,177,EtPay,VISA,Banco BCI,Región del Biobío,Calle Falsa 123,chuuuza@test.com
The Sun Also Rises by Ernest Hemingway,11.99,178,Kiphu,Mastercard,Banco Estado,Región de Los Lagos,Cerro Alegre 222,rwzfskt@test.com
First Aid Beauty Ultra Repair Cream,34.0,179,Kiphu,VISA,Banco Estado,Región de Magallanes y de la Antártica Chilena,Camino del Inca 1010,eoicxvd@example.com
Oakley Holbrook Sunglasses,146.0,180,EtPay,Mastercard,Banco Falabella,Región de Los Lagos,Los Alerces 456,kmqtfkf@test.com
Google Pixelbook Go,649.99,181,Kiphu,Mastercard,Banco Estado,Región de Valparaíso,Valdivia 555,avwufmu@mail.com
Dyson V8 Absolute,399.99,182,Kiphu,VISA,Banco Falabella,Región de Atacama,Av. Siempre Viva 742,hstlvfa@email.com
Levi's 511 Slim Fit Jeans,59.99,183,MercadoPago,VISA,Santander,Región de Antofagasta,Los Alerces 456,dmnokyl@fake.co
The Martian by Andy Weir,12.99,184,Webpay,Mastercard,Santander,Región de Atacama,Providencia 234,pcyqyku@test.com
La Mer Crème de la Mer Moisturizer,190.0,185,EtPay,Mastercard,Santander,Región del Maule,Calle Falsa 123,qndtmhg@mail.com
Polar Vantage V2,499.95,186,EtPay,Mastercard,Banco Falabella,Región de Coquimbo,Valdivia 555,jagykfy@test.com
Sonos Beam Soundbar,399.0,187,Webpay,VISA,Banco Falabella,Región Metropolitana de Santiago,Plaza Italia 111,ntygepd@random.org
Anova Precision Cooker,199.0,188,Webpay,AMEX,Banco Estado,Región del Maule,Camino del Inca 1010,frhcgeq@mail.com
Nike Dri-FIT Training Shorts,34.99,189,Kiphu,VISA,Banco Estado,Región de Arica y Parinacota,Valdivia 555,tmvkkbf@example.com
The Catcher in the Rye by J.D. Salinger,10.99,190,MercadoPago,VISA,Santander,Región de La Araucanía,Calle Falsa 123,mnucizu@example.com
Glossier Cloud Paint,18.0,191,MercadoPago,Mastercard,Santander,Región de Magallanes y de la Antártica Chilena,Paseo Ahumada 890,dhblpao@email.com
TRX All-in-One Suspension Training System,169.95,192,Kiphu,VISA,Banco Estado,Región del Biobío,Paseo Ahumada 890,zfjqqrn@mail.com
Logitech G Pro X Wireless Gaming Headset,199.99,193,EtPay,AMEX,Banco de Chile,Región de Atacama,Los Alerces 456,sfsvgdm@fake.co
